"energy","danceability","tempo","valence","views","likes","stream"
"0.797","0.655","177.928","0.839","8079646911","50788626","1506598267"
"0.86","0.737","93.989","0.656","2626439287","13036596","1170562263"
"0.804","0.77","94.017","0.568","39763039","135919","203988701"
"0.909","0.703","97.982","0.777","3647171","32718","197998077"
"0.9","0.76","100.046","0.761","864990","10360","201700378"
"0.685","0.733","150.073","0.837","904204","11866","49105411"
"0.631","0.652","127.998","0.35","284033349","3473758","682479132"
"0.692","0.629","162.948","0.453","78483083","1082398","560791223"
"0.658","0.8","140.042","0.462","188678850","2671691","1142825569"
"0.515","0.662","69.808","0.386","8818478","127447","15859788"
"0.497","0.747","142.046","0.0663","24139842","343353","171091255"
"0.655","0.81","150.002","0.809","30608215","567407","92010224"
"0.494","0.747","76.006","0.624","31440593","542757","141369736"
"0.707","0.56","147","0.341","19221097","390046","77395440"
"0.679","0.594","106.726","0.66","712131","13233","50148408"
"0.443","0.724","97.194","0.763","166098054","1014895","266678074"
"0.815","0.871","122.959","0.823","20886","365","192312139"
"0.753","0.719","174.107","0.675","902197206","3044369","665804353"
"0.58","0.69","197.635","0.708","15736532","152209","31400753"
"0.778","0.754","128.925","0.916","171403894","3018400","205577936"
"0.634","0.578","183.89","0.216","129179970","897239","290126900"
"0.492","0.483","144.511","0.66","174663952","1630182","268237254"
"0.642","0.589","78.791","0.691","6825015","112136","13702635"
"0.785","0.591","106.002","0.785","24706293","557112","89466323"
"0.637","0.721","193.922","0.691","794818462","4767981","530878132"
"0.783","0.658","126.027","0.491","15181510","165238","190102352"
"0.838","0.774","143.04","0.924","593978662","3931975","893129259"
"0.844","0.788","113.324","0.382","294678986","1776186","424168867"
"0.699","0.759","92.96","0.907","790774922","4595411","588819207"
"0.834","0.751","95.053","0.894","398575571","2519778","581869840"
"0.843","0.669","147.08","0.702","1189091","7582","260444233"
"0.695","0.724","139","0.235","355445991","1489871","423188557"
"0.733","0.791","114.98","0.761","215417979","1012974","262573012"
"0.734","0.696","107.987","0.711","200917975","2725163","187278764"
"0.587","0.717","129.954","0.544","127036180","802449","145511234"
"0.766","0.762","130.001","0.442","518925108","4581525","1174282383"
"0.56","0.813","118.033","0.287","986386304","3786939","628424773"
"0.672","0.817","93.999","0.774","1202913849","3283909","396374422"
"0.703","0.879","94.004","0.788","567182812","2193036","569523901"
"0.764","0.826","126.9","0.761","2661002503","12824730","1048932845"
"0.697","0.522","169.775","0.235","496745873","9294232","529555988"
"0.634","0.578","183.89","0.216","129179970","897239","290126900"
"0.689","0.756","162.006","0.782","528082104","1592808","195678858"
"0.785","0.591","106.002","0.785","24706293","557112","89466323"
"0.814","0.788","97.982","0.665","10487689","86026","13182610"
"0.43","0.376","77.599","0.129","20369344","462099","528853212"
"0.322","0.672","113.852","0.496","154690126","807784","266083896"
"0.144","0.274","61.551","0.302","239113558","801663","205824087"
"0.6","0.477","152.062","0.29","228093498","1681967","121359658"
"0.475","0.511","98.957","0.819","320120240","722050","233844328"
"0.82","0.474","164.718","0.697","43190273","179776","101142300"
"0.481","0.684","121.208","0.48","1548721","23313","193227242"
"0.227","0.273","129.272","0.142","14170","141","244111564"
"0.391","0.435","73.531","0.583","47339991","105691","117809204"
"0.692","0.555","88.995","0.313","31222205","322458","147021007"
"0.69","0.733","116.992","0.31","83793080","1357047","646937556"
"0.606","0.526","116.622","0.492","2242438","55241","139674263"
"0.454","0.696","92.928","0.136","445294846","3501617","866702211"
"0.846","0.734","98.026","0.604","89848525","873194","381634599"
"0.578","0.755","94.148","0.581","161055631","1813108","581510489"
"0.82","0.672","120.005","0.438","310110524","1069833","349456576"
"0.66","0.58","123.801","0.411","62379960","432601","92083585"
"0.62","0.62","144.835","0.459","83793080","1357047","36852704"
"0.726","0.828","113.017","0.67","7338751","63534","44683570"
"0.693","0.662","86.009","0.655","595358298","2639677","327435679"
"0.534","0.645","105.02","0.463","192177","2672","208337920"
"0.735","0.607","88.894","0.964","13642","278","44638153"
"0.529","0.546","107.331","0.247","294691541","2004619","379059402"
"0.7","0.929","120.009","0.802","30154731","518074","273237961"
"0.723","0.904","145.013","0.835","256025742","2437220","638746688"
"0.659","0.676","134.985","0.595","17773546","170898","53989958"
"0.531","0.383","105.971","0.0375","1516174","29277","76686049"
"0.547","0.464","67.003","0.423","58687130","705272","256262137"
"0.448","0.744","118.027","0.279","1985424","53729","17960938"
"0.517","0.53","137.554","0.381","9379911","92424","48972127"
"0.627","0.336","150.273","0.35","753218999","3874002","1437977604"
"0.782","0.561","127.148","0.704","17209207","57286","226569574"
"0.727","0.669","102.322","0.807","104948400","697101","257187137"
"0.531","0.65","78.946","0.487","306941658","1298739","301955185"
"0.462","0.837","139.986","0.762","557340303","2207817","431793600"
"0.759","0.648","85.996","0.518","295026099","2212835","227592322"
